Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Parallel Universe,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Shotgun,Do [sword]<d6> damage|[gray](Reuseable),1,attack(d * 2); sfxdamage(target[;]d*2);,,DOUBLES|DOUBLES,,RED,change_power,complicate,,,2,NO,NO,NO,,,,,,,,,,,,,
Dragon's Dagger,Does [fire]<d6> Damage|[fire]Burns a dice|[gray](Reuseable),2,attack(d[;] FIRE); inflict(FIRE[;] 1); sfx(~_fire~);,,MAX2|FREE1,,RED,change_power,decreaserange,,none,4,NO,NO,NO,,,,,,,,,,,,,
Dragon's Dagger_upgraded,Does [fire]<d6> Damage|Burns [fire]1 dice|[gray](Reuseable),2,attack(d[;] FIRE); inflict(FIRE[;] 1); sfxdamage(target[;]d);,,MAX2|FREE1,,RED,,decreaserange,,none,6,NO,NO,NO,,,,,,,,,,,,,
Trick Dice,Some trick dice,2,,,SPARE2|SPARE2|SPARE2|SPARE2,,GRAY,,,,none,0,YES,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Shotgun_upgraded,Do [sword]<d6> damage|[gray](Reuseable),1,attack(d); sfxdamage(target[;]d);,Plasma Gun,REQUIRE5|FREE5,,RED,,removereusable,,,2,NO,NO,NO,,,,,,,,,,,,,
Combat Nudge,Dice value -1|[gray](Reuseable),2,if(d >= 2) givedice(d - 1);,,MIN2,,GRAY,,,,none,4,YES,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Splitdle,Split Dice[;] Lose [heart]2 hp|[gray](Reuseable),1,pierceattackself(2); givedice(split(d)[;] ~splitdice~);,,MIN2,,RED,change_power,change_power,,,3,YES,NO,NO,,,,,,,,,,,,,
Quick Dice,Roll 2 extra dice,2,givedice([rand([1[;]2[;]3[;]4[;]5[;]6])[;]rand([1[;]2[;]3[;]4[;]5[;]6])]);,,NORMAL,,GREEN,change_power,complicate,,,0,NO,NO,NO,,,,,,,,,,,,,
Quick Dice_upgraded,Roll 4 extra dice,2,givedice([rand([1[;]2[;]3[;]4[;]5[;]6])[;]rand([1[;]2[;]3[;]4[;]5[;]6])[;]rand([1[;]2[;]3[;]4[;]5[;]6])[;]rand([1[;]2[;]3[;]4[;]5[;]6])]);,,NORMAL,,GREEN,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Chips,Heal [heal]1 health |on reducing countdown,1,//I love that i dont have to put on exec code,,COUNTDOWN,50,GREEN,change_power,noeffect,,,0,NO,YES,NO,,,,,,,,attackself(-1);,,,,,
