init,rewards1,rewards2
DoubleEquipment:Dagger|Lockpick,Equipment:Poison Needle,Equipment:Skeleton Key
DoubleEquipment:Dagger|Berlin Key,Equipment:Dagger,Equipment:Hacksaw
DoubleEquipment:Nunchucks|Master Key,Equipment:Lockpick,Equipment:Backstab
DoubleEquipment:Poison Needle|Singularity,Equipment:Gradd,Equipment:Berlin Key
DoubleEquipment:Lowplicate|Dagger,Equipment:Splitdle,Equipment:Bronze Cauldron
DoubleEquipment:Legger|Hacksaw,Equipment:Bump pick,Equipment:Nunchucks
DoubleEquipment:Omegathrow|Hacksaw,,Equipment:Slingshot
DoubleEquipment:Countflower|Underwhelm,,Equipment:Omegathrow
DoubleEquipment:Pin's Twin|Twin Pin,,Equipment:Underwhelm
DoubleEquipment:Longbow|Bolt Pouch,,
DoubleEquipment:Longbow|Large Steel,,
DoubleEquipment:Compound Bow|Prepared Entrance,,
DoubleEquipment:Arrow Tip|Energy To Blood,,
DoubleEquipment:Ice Bow|Dragon's Saddle,,
DoubleEquipment:Large Steel|Gunburn,,
DoubleEquipment:Powder Pot|Energized Blade,,
DoubleEquipment:Dragon's Saddle|Power Suit,,
DoubleEquipment:Dragon's Saddle|Missle Thistle,,
DoubleEquipment:Large Steel|Ice Bow,,
DoubleEquipment:Dragon's Saddle|Ice Bow,,
